MMSI,BaseDateTime,LAT,LON,Heading,VesselName,CallSign,VesselType,Length,Width
367719640,2022-01-29T00:00:09,33.73179,-118.27442,156.0,CATALINA PROVIDER,WDI6530,70.0,,
563081600,2022-01-29T00:00:11,49.30115,-123.08256,91.0,SOUTHERN HAWK,9V6042,70.0,229.0,32.0
256610000,2022-01-29T00:00:01,25.53932,-79.55346,11.0,RED FIN,9HA2892,70.0,190.0,32.0
477143900,2022-01-29T00:00:07,38.05764,-122.21676,93.0,SANTIAGO BASIN,VREO2,70.0,179.0,28.0
311000081,2022-01-29T00:00:07,26.34719,-79.36195,276.0,ELIKON,C6AL6,70.0,190.0,32.0
316009090,2022-01-29T00:00:06,48.41735,-89.21767,270.0,ALGOMA EQUINOX,XJBH,70.0,222.0,23.0
477723900,2022-01-29T00:00:12,29.11633,-94.29545,301.0,IRVINE BAY,VRUG6,70.0,180.0,30.0
374727000,2022-01-29T00:00:14,29.9603,-90.2348,314.0,ELSA S,3FGE4,70.0,229.0,
316034846,2022-01-29T00:00:04,44.59115,-82.4773,149.0,ALGOMA NIAGARA,CFFO,70.0,226.0,24.0
305121000,2022-01-29T00:00:00,36.11962,-75.17325,344.0,SJARD,V2CV8,70.0,143.0,23.0
636021252,2022-01-29T00:00:02,48.26497,-125.56284,53.0,MSC BALTIC III,5LDA4,71.0,207.0,30.0
212347000,2022-01-29T00:00:01,48.50363,-125.73622,110.0,HYUNDAI TOKYO,5BZK3,70.0,303.0,40.0
352306000,2022-01-29T00:00:09,26.6738,-79.90435,140.0,CARIB WARRIOR,HP8134,79.0,64.0,14.0
477654700,2022-01-29T00:00:09,27.62096,-83.06373,318.0,OCEAN VENTURE,VROW6,70.0,199.0,
636093046,2022-01-29T00:00:04,31.53744,-118.11954,329.0,HAMMONIA LIPSIA,5LCQ4,70.0,220.0,32.0
538005694,2022-01-29T00:00:01,37.24358,-122.99437,201.0,INTERLINK VERACITY,V7GD4,70.0,179.0,
371965000,2022-01-29T00:00:00,30.68421,-88.03612,186.0,THEMIS LEADER,3FCI5,70.0,199.0,32.0
636018807,2022-01-29T00:00:06,36.67357,-123.81228,52.0,DEBUSSY,A8UL5,72.0,262.0,32.0
636093046,2022-01-29T00:00:00,31.39652,-118.02459,264.0,HAMMONIA LIPSIA,5LCQ4,70.0,220.0,32.0
257565000,2022-01-29T00:00:11,32.42066,-79.12209,243.0,TAMESIS,LAOL5,70.0,240.0,32.0
354886000,2022-01-29T00:00:00,30.95647,-117.90176,51.0,COSCO EUROPE,3EOC5,70.0,349.0,45.0
636019849,2022-01-29T00:00:03,35.40926,-74.77839,1.0,SARA,D5WL3,70.0,229.0,30.0
255790000,2022-01-29T00:00:04,31.9005,-117.62382,1.0,MSC TAMPICO,CQMD,71.0,294.0,32.0
371048000,2022-01-29T00:00:10,30.03108,-90.69938,247.0,NAVIOS HOPE,3EAX3,70.0,224.0,32.0
255790000,2022-01-29T00:00:00,30.20499,-117.39635,40.0,MSC TAMPICO,CQMD,71.0,294.0,32.0
209470000,2022-01-29T00:00:00,26.07162,-80.11505,181.0,MSC BOSPHORUS,5BDF5,71.0,300.0,40.0
255790000,2022-01-29T00:00:00,30.14781,-117.33281,74.0,MSC TAMPICO,CQMD,71.0,294.0,32.0
636018560,2022-01-29T00:00:13,37.79646,-122.31709,108.0,SEALAND GUAYAQUIL,A8QP3,70.0,209.0,30.0
255806338,2022-01-29T00:00:00,29.00275,-116.29749,228.0,MSC AURIGA,CQEB7,70.0,366.0,51.0
235050802,2022-01-29T00:00:00,33.03523,-124.41968,40.0,TOKYO TOWER,MAQJ,70.0,172.0,27.0
477648700,2022-01-29T00:00:06,40.49376,-72.11114,2.0,M/V LUNA MAERSK,VRTV5,71.0,265.0,37.0
255806338,2022-01-29T00:00:00,29.72068,-116.79099,327.0,MSC AURIGA,CQEB7,70.0,366.0,51.0
